st_transform,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel
"MULTILINESTRING ((12.0268432889298 54.1460815894295,12.0269969594827 54.1461239597754,12.0272920410439 54.1461813911304,12.0278142242043 54.1463050273307))",c30716bb-0cdc-42ef-b2e0-fd08164c5d65,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Dorfstraße,"10440"
"MULTILINESTRING ((12.1858765006184 54.0825408636855,12.1860300262109 54.0825328999908,12.1863355830684 54.0825245210278,12.1864002077689 54.0825226240783,12.1864535122611 54.0825177798651,12.186761233271 54.0824469565113,12.1868316273458 54.0824368747818,12.1868944058223 54.0824321953424,12.1873974780621 54.0824127256656,12.1882113409755 54.0823938461489,12.189095181 54.0823528068059,12.1895134264022 54.0823339995147))",fce47bd0-7224-49c9-99aa-d941bdbc4214,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Knallerballerweg,"06100"
"MULTILINESTRING ((12.0856029653935 54.1726076321245,12.0867078069084 54.1720304268202))",99aa4534-ebb5-4c4d-8709-0c6b326ba819,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Johann-S.-Bach-Straße,"04050"
"MULTILINESTRING ((12.0718408608341 54.1282093282498,12.0739824703807 54.1273658868319),(12.0732292735034 54.1276624464407,12.0728715171978 54.1273610850337,12.0723523293919 54.1269281762264,12.0721939570719 54.1268110971031,12.0721470590819 54.1267811697081,12.0720615787675 54.1267886841841,12.0709345418063 54.1272026263131,12.0708950112773 54.1272534781359,12.0708963796901 54.1272803782258,12.0715566701787 54.1278318721492,12.0716178329272 54.1278448755668,12.0716740945906 54.1278347309829,12.0728715171978 54.1273610850337))",55be9351-a46e-4a46-8137-59f46ddfbece,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seefahrerring,"14410"
"MULTILINESTRING ((12.084965 54.07313,12.083862 54.073827),(12.08429 54.074421,12.083862 54.073827),(12.083862 54.073827,12.083376 54.073411))",52632850-16c5-46b4-8429-db1dcfb8930e,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Alfred-Brehm-Straße,"12970"
"MULTILINESTRING ((12.169547 54.146427,12.169212 54.146483,12.169001 54.14648,12.16857 54.14648,12.168296 54.146448,12.167639 54.146521))",f3542479-de68-45ba-ba6f-332d67df70c2,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Schlehenhain,"11280"
"MULTILINESTRING ((12.1156460136084 54.0812114504327,12.1162132590411 54.0812403717678,12.1162314204374 54.0811235601516,12.1156602087573 54.0810963497064))",0704c833-f8fb-4d99-8ceb-d4d3461b4519,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kosegartenstraße,"06180"
"MULTILINESTRING ((12.171073 54.148201,12.170599 54.148297,12.17021 54.148346,12.170094 54.148292,12.169671 54.147822,12.169096 54.147147,12.168987 54.146927,12.168955 54.146796,12.169003 54.146645,12.169212 54.146483))",48536cf5-2cfb-479e-abf3-e09d192b5b7f,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hermann-Becker-Straße,"11240"
"MULTILINESTRING ((12.179886 54.094482,12.17978 54.094518,12.179706 54.094527,12.179452 54.0945),(12.179452 54.0945,12.178662 54.094413,12.177574 54.094288,12.177406 54.09428,12.177178 54.094278,12.176956 54.094289,12.176784 54.09431,12.176617 54.094345,12.17654 54.094365),(12.17654 54.094365,12.176464 54.094385,12.176289 54.094455,12.17614 54.094529,12.176019 54.094613,12.175922 54.094707,12.175855 54.094802,12.175808 54.094908,12.17572 54.095183),(12.17654 54.094365,12.176241 54.093979),(12.174503 54.095049,12.17572 54.095185,12.175583 54.09562,12.175569 54.09566,12.175561 54.095696),(12.179319 54.093794,12.179264 54.093818,12.179218 54.093845,12.179188 54.093876,12.179185 54.093909,12.179208 54.093948,12.17947 54.094279,12.179489 54.094333,12.179488 54.094382,12.179452 54.0945))",884c80ba-097a-450f-8358-f7c12799d354,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Bäckerhörn,"12310"
"MULTILINESTRING ((12.1247249188708 54.0871696551795,12.1251153926951 54.086317552118))",7249125e-5fe4-46a0-bc68-9d541a0cd025,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Helenenweg,"11330"
"MULTILINESTRING ((12.096298376485 54.0889872094989,12.0965766212363 54.0889034338706,12.0974142432738 54.0886482375945))",ff50cea0-49ec-42c0-9a25-3ef6087b64dc,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Braunschweiger Straße,"01560"
"MULTILINESTRING ((12.170057 54.066818,12.169437 54.067343,12.168442 54.06816,12.167704 54.06878,12.166749 54.069569,12.166376 54.069877,12.166195 54.070043,12.166105 54.070128,12.166013 54.070236,12.165708 54.070667,12.165394 54.071184,12.165011 54.071714,12.164864 54.071922,12.163699 54.073628,12.162845 54.074909,12.162525 54.075386,12.161991 54.076156,12.161721 54.076533,12.161565 54.076752,12.1613 54.07713,12.160611 54.078201,12.160336 54.07859,12.160259 54.078713,12.159913 54.079234,12.159614 54.079717,12.159505 54.07992,12.15941 54.08013,12.159351 54.080288),(12.159351 54.080288,12.159266 54.080612,12.159237 54.080804,12.159198 54.081139,12.159183 54.081257,12.159187 54.081357),(12.159351 54.080288,12.159188 54.080268))",d6c5be77-3988-4aad-acca-74e38b04c771,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Neubrandenburger Straße,"07190"
"MULTILINESTRING ((12.1376918805759 54.0814232607274,12.1387195441647 54.0810501357304))",51e6433a-8b09-40f1-a02d-cade04842cf4,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Leibnizplatz,"06520"
"MULTILINESTRING ((12.083634 54.074989,12.082046 54.074904))",1932858e-9557-47cc-b549-b6ec9c8fb218,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Biberweg,"12990"
"MULTILINESTRING ((12.0841729093426 54.1806056698828,12.0844513172431 54.1797625054847))",9b679195-22e2-4629-954a-cbe0a39b14ad,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Luisenstraße,"06760"
