,ort,plz,vorwahl
0,Aach,78267,07774
1,Aach,54298,06506
2,Aachen,52062,0241
3,Aachen,52064,0241
4,Aachen,52066,0241
5,Aachen,52068,0241
6,Aachen,52070,0241
7,Aachen,52072,0241
8,Aachen,52074,0241
9,Aachen,52076,0241
10,Aachen,52078,0241
11,Aachen,52080,0241
12,Aalen,73430,07361
13,Aalen,73431,07361
14,Aalen,73432,07361
15,Aalen,73433,07361
16,Aalen,73434,07361
17,Aarbergen,65326,06120
18,Aasbüttel,25560,04825
19,Abenberg,91183,09178
20,Abensberg,93326,09443
21,Abentheuer,55767,06782
22,Absberg,91720,09175
23,Abstatt,74232,07062
24,Abtsbessingen,99713,036020
25,Abtsgmünd,73453,07366
26,Abtsteinach,69518,06207
27,Abtswind,97355,09325
28,Abtweiler,55568,06755
29,Achberg,88147,08380
30,Achern,77855,07841
31,Achim,28832,04202
32,Achslach,94250,09905
33,Achstetten,88480,07392
34,Acht,56729,02651
35,Achtelsbach,55767,06782
36,Achterwehr,24239,04340
37,Achtrup,25917,04662
38,Adelberg,73099,07166
39,Adelebsen,37139,05506
40,Adelheidsdorf,29352,05141
41,Adelmannsfelden,73486,07963
42,Adelschlag,85111,08421
43,Adelsdorf,91325,09195
44,Adelsheim,74740,06291
45,Adelshofen,91587,09865
46,Adelshofen,82276,08202
47,Adelsried,86477,08294
48,Adelzhausen,86559,08208
49,Adenau,53518,02691
50,Adenbach,67742,06382
51,Adenbüttel,38528,05303
52,Adendorf,21365,04131
53,Adlkofen,84166,08707
54,Admannshagen-Bargeshagen,18211,038203
55,Adorf/Vogtland,8626,037423
56,Aebtissinwisch,25572,04858
57,Aerzen,31855,05154
58,Affalterbach,71563,07144
59,Affing,86444,08207
60,Affinghausen,27257,04247
61,Affler,54689,06550
62,Agathenburg,21684,04141
63,Agethorst,25560,04825
64,Aglasterhausen,74858,06262
65,Aham,84168,08744
66,Ahaus,48683,02561
67,Ahausen,27367,04205
68,Ahlbeck,17375,039771
69,Ahlden,29693,05164
70,Ahlefeld-Bistensee,24358,04353
71,Ahlen,59227,02382
72,Ahlen,59229,02382
73,Ahlerstedt,21702,04166
74,Ahlsdorf,6313,034772
75,Ahlstädt,98553,03681
76,Ahnatal,34292,05609
77,Ahneby,24996,04637
78,Ahnsbeck,29353,05145
79,Ahnsen,31708,05724
80,Aholfing,94345,09429
81,Aholming,94527,09938
82,Ahorn,74744,06296
83,Ahorn,96482,09561
84,Ahorntal,95491,09246
85,Ahrbrück,53506,02643
86,Ahrensbök,23623,04525
87,Ahrensburg,22926,04102
88,Ahrensfelde,16356,03338
89,Ahrenshagen-Daskow,18320,038225
90,Ahrenshöft,25853,04673
91,Ahrenshoop,18347,038226
92,Ahrenviöl,25885,04847
93,Ahrenviölfeld,24896,04626
94,Ahrenviölfeld,25885,04847
95,Aichach,86551,08251
96,Aicha vorm Wald,94529,08504
97,Aichelberg,73101,07164
98,Aichen,86479,08262
99,Aichhalden,78733,07836
100,Aichstetten,88317,07565
101,Aichtal,72631,07127
102,Aichwald,73773,0711
103,Aidenbach,94501,08543
104,Aidhausen,97491,09523
105,Aidlingen,71134,07034
106,Aiglsbach,84089,08452
107,Ailertchen,56459,02663
108,Aindling,86447,08237
109,Ainring,83404,08654
110,Aislingen,89344,09075
111,Aiterhofen,94330,09424
112,Aitern,79677,07673
113,Aitrach,88319,08395
114,Aitrang,87648,08343
115,Aken (Elbe),6385,06095
116,Aken (Elbe),6386,06029
117,Aland,39615,039386
118,Albaching,83544,08076
119,Albbruck,79774,07753
120,Albersdorf,25767,04835
121,Albersdorf,7646,07245
122,Albershausen,73095,07161
123,Albersweiler,76857,06345
124,Albertshofen,97320,09321
125,Albessen,66871,06384
126,Albig,55234,06737
127,Albisheim (Pfrimm),67308,06355
128,Albsfelde,23909,04541
129,Albstadt,72458,07432
130,Albstadt,72459,07432
131,Albstadt,72461,07432
132,Aldenhoven,52457,02464
133,Aldersbach,94501,08543
134,Aldingen,78554,07424
135,Alerheim,86733,09085
136,Alesheim,91793,09834
137,Aletshausen,86480,08263
138,Alf,56859,06542
139,Alfdorf,73553,07171
140,Alfdorf,73655,07181
141,Alfeld,91236,09157
142,Alfeld (Leine),31061,05181
143,Alfhausen,49594,05464
144,Alflen,56828,02678
145,Alfstedt,27432,04767
146,Alfter,53347,0228
147,Algermissen,31191,05126
148,Alheim,36211,06623
149,Alken,56332,02607
150,Alkersleben,99310,03628
151,Alkersum,25938,04681
152,Allenbach,55758,06785
153,Allendorf,35469,06406
154,Allendorf,56370,06486
155,Allendorf,7426,036738
156,Allendorf (Eder),35108,06452
157,Allenfeld,55595,0671
158,Allensbach,78476,07533
159,Allersberg,90584,09176
160,Allershausen,85391,08166
161,Alleshausen,88422,07582
162,Alling,82239,08141
163,Allmannshofen,86695,08273
164,Allmannsweiler,88348,07583
165,Allmendingen,89604,07394
166,Allmersbach im Tal,71573,07191
167,Allstedt,6542,06142
168,Almdorf,25821,04671
169,Almersbach,57610,02681
170,Alpen,46519,02802
171,Alpenrod,57642,02661
172,Alpenrod,57647,02661
173,Alperstedt,99195,036204
174,Alpirsbach,72275,07444
175,Alsbach,56237,02601
176,Alsbach-Hähnlein,64665,06257
177,Alsdorf,52477,02404
178,Alsdorf,57518,02741
179,Alsdorf,54668,06523
180,Alsenz,67821,06362
181,Alsfeld,36304,06631
182,Alsheim,67577,06249
183,Alsleben,6425,034692
184,Altbach,73776,07153
185,Alt Bennebek,24848,04624
186,Alt Bukow,18233,038294
187,Altdöbern,3229,035434
188,Altdorf,84032,0871
189,Altdorf,71155,07031
190,Altdorf,72655,07127
191,Altdorf,67482,06347
192,Altdorf bei Nürnberg,90518,09187
193,Alt Duvenstedt,24782,04331
194,Alt Duvenstedt,24791,04338
195,Alt Duvenstedt,24811,04336
196,Altefähr,18573,038306
197,Alteglofsheim,93087,09453
198,Altena,58762,02352
199,Altenahr,53505,02643
200,Altenbamberg,55585,0671
201,Altenbeken,33184,05255
202,Altenberg,1773,Error
203,Altenberg,1778,Error
204,Altenberga,7768,Error
205,Altenberge,48341,02505
206,Altenbeuthen,7338,Error
207,Altenbuch,97901,09392
208,Altenburg,4600,Error
209,Altendiez,65624,06432
210,Altendorf,92540,09675
211,Altendorf,96146,09545
212,Altenglan,66885,06381
213,Altenhagen,17091,039602
214,Altenhausen,39343,039202
215,Altenhof,24340,04351
216,Altenhof,17209,Error
217,Altenholz,24161,04349
218,Altenkirchen,66903,06386
219,Altenkirchen,18556,038391
220,Altenkirchen (Westerwald),57610,02681
221,Altenkrempe,23730,04561
222,Altenkunstadt,96264,09572
223,Altenmarkt an der Alz,83352,08621
224,Altenmedingen,29575,05807
225,Altenmoor,25335,04121
226,Altenmünster,86450,08295
227,Altenpleen,18445,038323
228,Altenriet,72657,07127
229,Altenstadt,63674,06047
230,Altenstadt,86972,08861
231,Altenstadt,89281,08337
232,Altenstadt an der Waldnaab,92665,09602
233,Altensteig,72213,07453
234,Altenthann,93177,09408
235,Altentreptow,17087,03961
236,Alterkülz,56288,06762
237,Altertheim,97237,09307
238,Altfraunhofen,84169,08705
239,Althegnenberg,82278,08202
240,Altheim,88499,07371
241,Altheim,89605,07391
242,Altheim (Alb),89174,07340
243,Althengstett,75382,07051
244,Althornbach,66484,06339
245,Althütte,71566,07191
246,Althüttendorf,16247,033361
247,Altkalen,17179,039971
248,Alt Krenzlin,19288,038754
249,Altlandsberg,15345,03341
250,Altlay,56858,Error
251,Altleiningen,67316,06356
252,Altleiningen,67317,06359
253,Altlußheim,68804,06205
254,Altmannstein,93336,09446
255,Altmärkische Höhe,39606,039328
256,Altmärkische Höhe,39615,039386
257,Altmärkische Wische,39615,039386
258,Alt Meteln,19069,03867
259,Altmittweida,9648,09564
260,Alt Mölln,23881,04542
261,Altomünster,85250,08254
262,Altötting,84503,08671
263,Altrich,54518,06535
264,Altrip,67122,06236
265,Altscheid,54636,06561
266,Alt Schwerin,17214,039927
267,Altshausen,88361,07584
268,Altstrimmig,56858,Error
269,Alt Sührkow,17166,03996
270,Alt Tellin,17129,039999
271,Alt Tucheband,15328,033472
272,Altusried,87452,08373
273,Altwarp,17375,039771
274,Altweidelbach,55469,06761
275,Altwigshagen,17379,039778
276,Alt Zachun,19230,038852
277,Alt Zauche-Wußwerk,15913,035473
278,Alveslohe,25486,04193
279,Alzenau,63755,06023
280,Alzey,55232,06731
281,Amberg,92224,08249
282,Amberg,86854,08249
283,Amelinghausen,21385,04132
284,Amerang,83123,08075
285,Amerdingen,86735,09089
286,Am Ettersberg,99439,Error
287,Am Großen Bruch,39393,Error
288,Ammeldingen an der Our,54675,06522
289,Ammeldingen bei Neuerburg,54673,06564
290,Am Mellensee,15838,033703
291,Ammerbuch,72119,07032
292,Ammerndorf,90614,09105
293,Ammersbek,22949,04102
294,Ammerthal,92260,09621
295,Am Ohmberg,37345,036072
296,Amöneburg,35287,06422
297,Amorbach,63916,09373
298,Ampfing,84539,08636
299,Am Salzhaff,18233,038294
300,Amstetten,73340,07323
301,Amt Creuzburg,99831,Error
302,Amt Neuhaus,19273,038845
303,Amtsberg,9439,Error
304,Amt Wachsenburg,99334,0361
305,Amtzell,88279,07522
306,Andechs,82346,08157
307,Anderlingen,27446,04284
308,Andernach,56626,02632
309,An der Poststraße,6647,Error
310,An der Schmücke,6577,06198
311,Andervenne,49832,05902
312,Andisleben,99189,036201
313,Angelbachtal,74918,07265
314,Angelburg,35719,06464
315,Anger,83454,08656
316,Angermünde,16278,033337
317,Angern,39326,039206
318,Angern,39517,039365
319,Anhausen,56584,02639
320,Ankershagen,17219,039928
321,Anklam,17389,03971
322,Ankum,49577,05462
323,Annaberg-Buchholz,9456,09937
324,Annaburg,6925,06228
325,Annweiler am Trifels,76855,06346
326,Anröchte,59609,02927
327,Ansbach,91522,0981
328,Anschau,56729,02651
329,Antdorf,82387,08801
330,Antrifttal,36326,06692
331,Antweiler,53533,02693
332,Anzing,85646,08121
333,Apelern,31552,05723
334,Apen,26689,04489
335,Apenburg-Winterfeld,38486,039008
336,Apensen,21641,04167
337,Apfeldorf,86974,08869
