,Unnamed: 0,ort,plz,vorwahl
0,0,Aach,78267,07774
1,1,Aach,54298,06506
2,2,Aachen,52062,0241
3,3,Aachen,52064,0241
4,4,Aachen,52066,0241
5,5,Aachen,52068,0241
6,6,Aachen,52070,0241
7,7,Aachen,52072,0241
8,8,Aachen,52074,0241
9,9,Aachen,52076,0241
10,10,Aachen,52078,0241
11,11,Aachen,52080,0241
12,12,Aalen,73430,07361
13,13,Aalen,73431,07361
14,14,Aalen,73432,07361
15,15,Aalen,73433,07361
16,16,Aalen,73434,07361
17,17,Aarbergen,65326,06120
18,18,Aasbüttel,25560,04825
19,19,Abenberg,91183,09178
20,20,Abensberg,93326,09443
21,21,Abentheuer,55767,06782
22,22,Absberg,91720,09175
23,23,Abstatt,74232,07062
24,24,Abtsbessingen,99713,036020
25,25,Abtsgmünd,73453,07366
26,26,Abtsteinach,69518,06207
27,27,Abtswind,97355,09325
28,28,Abtweiler,55568,06755
29,29,Achberg,88147,08380
30,30,Achern,77855,07841
31,31,Achim,28832,04202
32,32,Achslach,94250,09905
33,33,Achstetten,88480,07392
34,34,Acht,56729,02651
35,35,Achtelsbach,55767,06782
36,36,Achterwehr,24239,04340
37,37,Achtrup,25917,04662
38,38,Adelberg,73099,07166
39,39,Adelebsen,37139,05506
40,40,Adelheidsdorf,29352,05141
41,41,Adelmannsfelden,73486,07963
42,42,Adelschlag,85111,08421
43,43,Adelsdorf,91325,09195
44,44,Adelsheim,74740,06291
45,45,Adelshofen,91587,09865
46,46,Adelshofen,82276,08202
47,47,Adelsried,86477,08294
48,48,Adelzhausen,86559,08208
49,49,Adenau,53518,02691
50,50,Adenbach,67742,06382
51,51,Adenbüttel,38528,05303
52,52,Adendorf,21365,04131
53,53,Adlkofen,84166,08707
54,54,Admannshagen-Bargeshagen,18211,038203
55,55,Adorf/Vogtland,8626,037423
56,56,Aebtissinwisch,25572,04858
57,57,Aerzen,31855,05154
58,58,Affalterbach,71563,07144
59,59,Affing,86444,08207
60,60,Affinghausen,27257,04247
61,61,Affler,54689,06550
62,62,Agathenburg,21684,04141
63,63,Agethorst,25560,04825
64,64,Aglasterhausen,74858,06262
65,65,Aham,84168,08744
66,66,Ahaus,48683,02561
67,67,Ahausen,27367,04205
68,68,Ahlbeck,17375,039771
69,69,Ahlden,29693,05164
70,70,Ahlefeld-Bistensee,24358,04353
71,71,Ahlen,59227,02382
72,72,Ahlen,59229,02382
73,73,Ahlerstedt,21702,04166
74,74,Ahlsdorf,6313,034772
75,75,Ahlstädt,98553,03681
76,76,Ahnatal,34292,05609
77,77,Ahneby,24996,04637
78,78,Ahnsbeck,29353,05145
79,79,Ahnsen,31708,05724
80,80,Aholfing,94345,09429
81,81,Aholming,94527,09938
82,82,Ahorn,74744,06296
83,83,Ahorn,96482,09561
84,84,Ahorntal,95491,09246
85,85,Ahrbrück,53506,02643
86,86,Ahrensbök,23623,04525
87,87,Ahrensburg,22926,04102
88,88,Ahrensfelde,16356,03338
89,89,Ahrenshagen-Daskow,18320,038225
90,90,Ahrenshöft,25853,04673
91,91,Ahrenshoop,18347,038226
92,92,Ahrenviöl,25885,04847
93,93,Ahrenviölfeld,24896,04626
94,94,Ahrenviölfeld,25885,04847
95,95,Aichach,86551,08251
96,96,Aicha vorm Wald,94529,08504
97,97,Aichelberg,73101,07164
98,98,Aichen,86479,08262
99,99,Aichhalden,78733,07836
100,100,Aichstetten,88317,07565
101,101,Aichtal,72631,07127
102,102,Aichwald,73773,0711
103,103,Aidenbach,94501,08543
104,104,Aidhausen,97491,09523
105,105,Aidlingen,71134,07034
106,106,Aiglsbach,84089,08452
107,107,Ailertchen,56459,02663
108,108,Aindling,86447,08237
109,109,Ainring,83404,08654
110,110,Aislingen,89344,09075
111,111,Aiterhofen,94330,09424
112,112,Aitern,79677,07673
113,113,Aitrach,88319,08395
114,114,Aitrang,87648,08343
115,115,Aken (Elbe),6385,06095
116,116,Aken (Elbe),6386,06029
117,117,Aland,39615,039386
118,118,Albaching,83544,08076
119,119,Albbruck,79774,07753
120,120,Albersdorf,25767,04835
121,121,Albersdorf,7646,07245
122,122,Albershausen,73095,07161
123,123,Albersweiler,76857,06345
124,124,Albertshofen,97320,09321
125,125,Albessen,66871,06384
126,126,Albig,55234,06737
127,127,Albisheim (Pfrimm),67308,06355
128,128,Albsfelde,23909,04541
129,129,Albstadt,72458,07432
130,130,Albstadt,72459,07432
131,131,Albstadt,72461,07432
132,132,Aldenhoven,52457,02464
133,133,Aldersbach,94501,08543
134,134,Aldingen,78554,07424
135,135,Alerheim,86733,09085
136,136,Alesheim,91793,09834
137,137,Aletshausen,86480,08263
138,138,Alf,56859,06542
139,139,Alfdorf,73553,07171
140,140,Alfdorf,73655,07181
141,141,Alfeld,91236,09157
142,142,Alfeld (Leine),31061,05181
143,143,Alfhausen,49594,05464
144,144,Alflen,56828,02678
145,145,Alfstedt,27432,04767
146,146,Alfter,53347,0228
147,147,Algermissen,31191,05126
148,148,Alheim,36211,06623
149,149,Alken,56332,02607
150,150,Alkersleben,99310,03628
151,151,Alkersum,25938,04681
152,152,Allenbach,55758,06785
153,153,Allendorf,35469,06406
154,154,Allendorf,56370,06486
155,155,Allendorf,7426,036738
156,156,Allendorf (Eder),35108,06452
157,157,Allenfeld,55595,0671
158,158,Allensbach,78476,07533
159,159,Allersberg,90584,09176
160,160,Allershausen,85391,08166
161,161,Alleshausen,88422,07582
162,162,Alling,82239,08141
163,163,Allmannshofen,86695,08273
164,164,Allmannsweiler,88348,07583
165,165,Allmendingen,89604,07394
166,166,Allmersbach im Tal,71573,07191
167,167,Allstedt,6542,06142
168,168,Almdorf,25821,04671
169,169,Almersbach,57610,02681
170,170,Alpen,46519,02802
171,171,Alpenrod,57642,02661
172,172,Alpenrod,57647,02661
173,173,Alperstedt,99195,036204
174,174,Alpirsbach,72275,07444
175,175,Alsbach,56237,02601
176,176,Alsbach-Hähnlein,64665,06257
177,177,Alsdorf,52477,02404
178,178,Alsdorf,57518,02741
179,179,Alsdorf,54668,06523
180,180,Alsenz,67821,06362
181,181,Alsfeld,36304,06631
182,182,Alsheim,67577,06249
183,183,Alsleben,6425,034692
184,184,Altbach,73776,07153
185,185,Alt Bennebek,24848,04624
186,186,Alt Bukow,18233,038294
187,187,Altdöbern,3229,035434
188,188,Altdorf,84032,0871
189,189,Altdorf,71155,07031
190,190,Altdorf,72655,07127
191,191,Altdorf,67482,06347
192,192,Altdorf bei Nürnberg,90518,09187
193,193,Alt Duvenstedt,24782,04331
194,194,Alt Duvenstedt,24791,04338
